function,RVA,offset,code
ACCESS_DESCRIPTION_free,0x99580,0x98980,8B4424046894BA0E1050E891E0FDFF83C408C3
ACCESS_DESCRIPTION_it,0x99520,0x98920,B894BA0E10C3
ACCESS_DESCRIPTION_new,0x99570,0x98970,6894BA0E10E8C6DAFDFF83C404C3
AES_bi_ige_encrypt,0x1ACF0,0x1A0F0,B850000000E8E6410A00A1505C111033C48944244C8B442460538B5C246055568B742464578B7C2464895C24148944241C85FF741285F6740E85C0740A8B6C247885ED751DEB048B6C247868444C0C1068E3000000682C4C0C10E8416FFEFF83C40C8B44247C83F801741B85C0741768004C0C1068E4000000682C4C0C10E81D6FFEFF83C40CF6C30F741768E04B0C1068E5000000682C4C0C10E8016FFEFF83C40C837C247C010F85EF0100008D4D108BC5894C241083FB100F82F1000000C1EB04895C24188BD72BD0895424248BD68BDF2BD02BDE8D6F038D4E01895C2428C744242004000000EB068D9B000000008B5C24240FB61C03321883C004885C02FC8B5C24280FB61C0B3258FD83C1048859FC0FB658FE325DFF83C5048859FD0FB658FF325DFCFF4C24208859FE75C18B54241C525656E8551A00008B6C241C83C40C8D4D028BC62BEEBA040000008BFF0FB61C2830180FB659FF3058010FB6193058020FB6590130580383C00483C1044A75DD8B0F8B5704894C242C8B4F08895424308B570C8BC6894C24348D4C242C83C71083C610FF4C241889542438894C24100F851EFFFFFF8B5C24148B6C24788D552083C530896C241083FB100F82F3020000C1EB048B46F08B4EF483EE108944243C8B4608894C24408B4E0C8BEA89442444894C24488D4A028BC62BEEBF040000000FB6142830100FB651FF3050010FB6113050020FB6510130500383C00483C1044F75DD8B44241C505656E86E1900008B7C241C83C40C8D4F028BC62BFEBD040000000FB6143830100FB651FF3050010FB6113050020FB6510130500383C00483C1044D75DD4B8B44243C8B4C24408944242C8B442444894C24308B4C2448894424348D44242C8BD6894C2438894424100F853DFFFFFF5F5E5D5B8B4C244C33
AES_cbc_encrypt,0x1DF70,0x1D370,555356578B4C241C83F9000F84D4010000E8000000005D8D05C0831110837C2428008DADBADCFFFF0F85060000008DAD801600009CFC81F9000200000F82EE020000F7C10F0000000F85E20200000FBA201C0F82D80200008DB424BCFEFFFF83E6C089E88D9D0009000089F225FF0F000081E3FF0F000081E2FF0F000039DA0F820B00000029DA29D6E912000000909029C281E2FF0F000081C28001000029D68D54241887E683C404896C24188974241C8B028B5A048B7A0C8B72108B521489442420895C2424894C2428897C242C89742430C784243C0100000000000089FBB93D00000029EB89FE81E3FF0F00008D7C244C81FB000900000F820D00000081FB0C0F00000F820900000090897C242C89F6F3A5BF100000009090908B45008B5D208B4D408B75608DAD8000000083EF010F85E5FFFFFF81ED000800008B7424208B7C243083FA000F84A20000008B078B5F04909090909090909090909090908B4F088B570C3306335E04334E0833560C8B7C242CE8F6D8FFFF8B7424208B7C24248907895F04894F0889570C8D76108B4C2428897424208D57108954242483E910894C24280F85B4FFFFFF8B7424308B4F088B570C8906895E04894E0889560C83BC243C010000008B7C242C0F840D000000B93C00000031C0909089F6F3AB8B64241C9D5F5E5B5DC39C90909090903B7424240F8486000000897C243490908B068B5E048B4E088B560C8B7C242CE8FCEEFFFF8B7C24348B7424283307335F04334F0833570C8B7C24248B7424208907895F04894F0889570C8B4C2428897424348D7610897424208D7F10897C242483E910894C24280F85A3FFFFFF8B7C24348B7424308B078B5F048B4F088B570C8906895E04894E0889560CE9800000008B068B5E048B4E088B560C8D7C243C8907895F04894F0889570C8B7C242CE86DEEFFFF8B7C24308B7424243307335F04334F0833570C8906895E04894E0889560C8D7610897424248D74243C8B068B5E048B4E088B560C8907895F04894F0889570C8B7424208B4C24288D76108974242083E910894C24280F8582FFFFFF909083BC243C010000008B7C242C0F840E000000B93C00000031C090909089F6F3AB8B64241C9D5F5E5B5DC39C90909090908B008B7C24248D7424B083E6C08D9F71FFFFFF29F3F7DB81E3C003000029DE8D9E0003000029EB81E3000300008DAC1D800800008D54241887E683C404896C24188974241C894424348B028B5A048B72108B521489442420895C2424894C2428897C242C8974243089F789C683FA000F846B01000083F91089DA0F82200100000FBA642434190F83840000000F6F070F6F6708909090909090909090909090900FEF060FEF66088B7C242CE890D4FFFF8B7424208B7C24248B4C24280F7F070F7F67088D7610897424208D57108954242483E91083F910894C24280F83BFFFFFFFF7C10F0000000F85B30000008B7424300F7F060F7F66080F778B64241C9D5F5E5B5DC39C90909090909090909090908B078B5F049090908B4F088B570C3306335E04334E0833560C8B7C242CE8AED0FFFF8B7424208B7C24248907895F04894F0889570C8B4C24288D7610897424208D57108954242483E91083F910894C24280F83B1FFFFFFF7C10F0000000F852D0000008B7424308B4F088B570C8906895E04894E0889560C8B64241C9D5F5E5B5DC39C909090909090909090909090900F7789D7BB1000000029CB39F70F840A0000009089F6F3A4E9030000008D3C0F89D931C089F6F3AA8B7C243089D68B078B5F04C744242810000000E938FFFFFF0FBA642434190F83940000000F6F060F6F66088B7C242CE824E9FFFF8B7424208D44243C8B5C24248B4C24288B7C24300F6F0E0F6F6E080FEF070FEF67080F7F0F0F7F6F0883E9100F82320000000F7F030F7F63088D5B10895C24248D761089742420894C24280F859FFFFFFF0F778B64241C9D5F5E5B5DC39C9090909090900F7F000F7F60080F7783C11089DF89C689F6F3A48B64241C9D5F5E5B5DC39C908B068B5E048B4E088B560C8D7C243C8907895F04894F0889570C8B7C242CE8EDE3FFFF8B7C24308B7424283307335F04334F0833570C83EE100F8251000000897424288B7424248906895E04894E0889560C8D7610897424248D74243C8B068B5E048B4E088B560C8907895F04894F0889570C8B7424208D7610897424200F857CFFFFFF8B64241C9D5F5E5B5DC39C908D74243C8906895E04894E0889560C8B7424208B068B5E048B4E088B560C8907895F04894F0889570C8B4C24288B7C24248D74243C90909089F6F3A48B64241C9D5F5E5B5DC390909090909090909090555356578B7424188B7C2420F7C6FFFFFFFF0F849F020000F7C7FFFFFFFF0F8493020000E8000000005D8DAD17D6FFFF8DAD800800008B45808B5DA08B4DC08B55E08B45008B5D208B4D408B55608B4C241C81F9800000000F842200000081F9C00000000F84A600000081F9000100000F8447010000B8FEFFFFFFE93C0200008B068B5E048B4E088B560C8907895F04894F0889570C31C9E9080000009090908B078B570C0FB6F20FB65C35800FB6F6C1E31831D80FB65C3580C1EA100FB6F231D80FB65C35800FB6F6C1E30831D80FB65C3580C1E31031D833848D8003000089471033470489471433470889471833470C89471C4183C71083F90A0F8C9EFFFFFFC747500A00000031C0E9AC0100008B068B5E048B4E088B560C8907895F04894F0889570C8B4E108B5614894F1089571431C9E9080000009090908B078B57140FB6F20FB65C35800FB6F6C1E31831D80FB65C3580C1EA100FB6F231D80FB65C35800FB6F6C1E30831D80FB65C3580C1E31031D833848D8003000089471833470489471C33470889472033470C89472483F9070F84150000004133471089472833471489472C83C718E98DFFFFFFC747480C00000031C0E9FF0000008B068B5E048B4E088B560C8907895F04894F0889570C8B46108B5E148B4E188B561C894710895F14894F1889571C31C9E90500000090908B571C8B070FB6F20FB65C35800FB6F6C1E31831D80FB65C3580C1EA100FB6F231D80FB65C35800FB6F6C1E30831D80FB65C3580C1E31031D833848D8003000089472033470489472433470889472833470C89472C83F9060F84570000004189C28B47100FB6F20FB65C35800FB6F631D80FB65C3580C1EA10C1E3080FB6F231D80FB65C35800FB6F6C1E31031D80FB65C3580C1E31831D889473033471489473433471889473833471C89473C83C720E94BFFFFFFC747300E00000031C0E905000000B8FFFFFFFF5F5E5B5DC3909090909090909090909090909090E82BFDFFFFC390909090909090909090E81BFDFFFF83F8000F8401000000C3555356578B74241C8B8EF00000008D0C8D000000008D3C8E908B068B5E048B0F8B57048907895F04890E8956048B46088B5E0C8B4F088B570C894708895F0C894E0889560C83C61083EF1039FE0F85C6FFFFFF8B7C241C8BB7F00000008D7436FE8D34F78974241C8B4710909083C71089C681E68080808089F5C1ED078D1C0029EE81E3FEFEFEFE81E61B1B1B1B31DE89F381E68080808089F5C1ED078D0C1B29EE81E1FEFEFEFE81E61B1B1B1B31C331CE89F181E68080808089F5C1ED078D140931C129EE81E2FEFEFEFE81E61B1B1B1BC1C00831F28B6F0431D831D331C8C1C31831D131D0C1C11031D8C1C20831C889EB31D0890789DE81E68080808089F5C1ED078D0C1B29EE81E1FEFEFEFE81E61B1B1B1B31CE89F181E68080808089F5C1ED078D140929EE81E2FEFEFEFE81E61B1B1B1B31D931D689F281E68080808089F5C1ED078D041231DA29EE25FEFEFEFE81E61B1B1B1BC1C30831F08B6F0831CB31C131D3C1C11831C231C3C1C21031CBC1C00831D389E931C3895F0489CE81E68080808089F5C1ED078D140929EE81E2FEFEFEFE81E61B1B1B1B31D689F281E68080808089F5C1ED078D041229EE25FEFEFEFE81E61B1B1B1B31CA31C689F081E68080808089F5C1ED078D1C0031C829EE81E3FEFEFEFE81E61B1B1B1BC1C10831F38B6F0C31D131DA31C1C1C21831D831D9C1C01031D1C1C30831C189EA31D9894F0889D681E68080808089F5C1ED078D041229EE25FEFEFEFE81E61B1B1B1B31C689F081E68080808089F5C1ED078D1C0029EE81E3FEFEFEFE81E61B1B1B1B31D031DE89F381E68080808089F5C1ED078D0C1B31D329EE81E1FEFEFEFE81E61B1B1B1BC1C20831F18B6F1031C231C831DAC1C01831CB31CAC1C31031C2C1C10831DA89E831CA89570C3B7C241C0F82D7FDFFFF31C05F5E5B5DC341455320666F72207838362C2043525950544F47414D53206279203C617070726F406F70656E73736C2E6F72673E00
AES_cfb128_encrypt,0x1A6D0,0x19AD0,8B44241C8B4C24188B5424146880C80110508B442418518B4C2418528B542418508B442418515250E883CE000083C420C3
AES_cfb1_encrypt,0x1A710,0x19B10,8B44241C8B4C24188B5424146880C80110508B442418518B4C2418528B542418508B442418515250E873D0000083C420C3
AES_cfb8_encrypt,0x1A750,0x19B50,8B44241C8B4C24188B5424146880C80110508B442418518B4C2418528B542418508B442418515250E8C3D1000083C420C3
AES_ctr128_encrypt,0x1A7C0,0x19BC0,8B44241C8B4C24188B5424146880C80110508B442418518B4C2418528B542418508B442418515250E8B3C1000083C420C3
AES_decrypt,0x1DEC0,0x1D2C0,555356578B7424148B7C241C89E083EC2483E4C08D5F8129E3F7DB81E3C003000029DC83C4048944241CE8000000005D8D05C08311108DADD1F3FFFF8D9C24FC02000029EB81E3000300008DAC1D800800000FBA20190F83240000000F6F060F6F6608E898EEFFFF8B64241C8B7424180F7F060F7F66080F775F5E5B5DC39090896C24188B068B5E048B4E088B560CE8DCE9FFFF8B64241C8B7424188906895E04894E0889560C5F5E5B5DC390909090555356578B4C241C83F9000F84D4010000E8000000005D8D05C0831110837C2428008DADBADCFFFF0F85060000008DAD801600009CFC81F9000200000F82EE020000F7C10F0000000F85E20200000FBA201C0F82D80200008DB424BCFEFFFF83E6C089E88D9D0009000089F225FF0F000081E3FF0F000081E2FF0F000039DA0F820B00000029DA29D6E912000000909029C281E2FF0F000081C28001000029D68D54241887E683C404896C24188974241C8B028B5A048B7A0C8B72108B521489442420895C2424894C2428897C242C89742430C784243C0100000000000089FBB93D00000029EB89FE81E3FF0F00008D7C244C81FB000900000F820D00000081FB0C0F00000F820900000090897C242C89F6F3A5BF100000009090908B45008B5D208B4D408B75608DAD8000000083EF010F85E5FFFFFF81ED000800008B7424208B7C243083FA000F84A20000008B078B5F04909090909090909090909090908B4F088B570C3306335E04334E0833560C8B7C242CE8F6D8FFFF8B7424208B7C24248907895F04894F0889570C8D76108B4C2428897424208D57108954242483E910894C24280F85B4FFFFFF8B7424308B4F088B570C8906895E04894E0889560C83BC243C010000008B7C242C0F840D000000B93C00000031C0909089F6F3AB8B64241C9D5F5E5B5DC39C90909090903B7424240F8486000000897C243490908B068B5E048B4E088B560C8B7C242CE8FCEEFFFF8B7C24348B7424283307335F04334F0833570C8B7C24248B7424208907895F04894F0889570C8B4C2428897424348D7610897424208D7F10897C242483E910894C24280F85A3FFFFFF8B7C24348B7424308B078B5F048B4F088B570C8906895E04894E0889560CE9800000008B068B5E048B4E088B560C8D7C243C8907895F04894F0889570C8B7C242CE86DEEFFFF8B7C24308B7424243307335F04334F0833570C8906895E04894E0889560C8D7610897424248D74243C8B068B5E048B4E088B560C8907895F04894F0889570C8B7424208B4C24288D76108974242083E910894C24280F8582FFFFFF909083BC243C010000008B7C242C0F840E000000B93C00000031C090909089F6F3AB8B64241C9D5F5E5B5DC39C90909090908B008B7C24248D7424B083E6C08D9F71FFFFFF29F3F7DB81E3C003000029DE8D9E0003000029EB81E3000300008DAC1D800800008D54241887E683C404896C24188974241C894424348B028B5A048B72108B521489442420895C2424894C2428897C242C8974243089F789C683FA000F846B01000083F91089DA0F82200100000FBA642434190F83840000000F6F070F6F6708909090909090909090909090900FEF060FEF66088B7C242CE890D4FFFF8B7424208B7C24248B4C24280F7F070F7F67088D7610897424208D57108954242483E91083F910894C24280F83BFFFFFFFF7C10F0000000F85B30000008B7424300F7F060F7F66080F778B64241C9D5F5E5B5DC39C90909090909090909090908B078B5F049090908B4F088B570C3306335E04334E0833560C8B7C242CE8AED0FFFF8B7424208B7C24248907895F04894F0889570C8B4C24288D7610897424208D57108954242483E91083F910894C24280F83B1FFFFFFF7C10F0000000F852D0000008B7424308B4F088B570C8906895E04894E0889560C8B64241C9D5F5E5B5DC39C909090909090909090909090900F7789D7BB1000000029CB39F70F840A0000009089F6F3A4E9030000008D3C0F89D931C089F6F3AA8B7C243089D68B078B5F04C744242810000000E938FFFFFF0FBA642434190F83940000000F6F060F6F66088B7C242CE824E9FFFF8B7424208D44243C8B5C24248B4C24288B7C24300F6F0E0F6F6E080FEF070FEF67080F7F0F0F7F6F0883E9100F82320000000F7F030F7F63088D5B10895C24248D761089742420894C24280F859FFFFFFF0F778B64241C9D5F5E5B5DC39C9090909090900F7F000F7F60080F7783C11089DF89C689F6F3A48B64241C9D5F5E5B5DC39C908B068B5E048B4E088B560C8D7C243C8907895F04894F0889570C8B7C242CE8EDE3FFFF8B7C24308B7424283307335F04334F0833570C83EE100F8251000000897424288B7424248906895E04894E0889560C8D7610897424248D74243C8B068B5E048B4E088B560C8907895F04894F0889570C8B7424208D7610897424200F857CFFFFFF8B64241C9D5F5E5B5DC39C908D74243C8906895E04894E0889560C8B7424208B068B5E048B4E088B560C8907895F04894F0889570C8B4C24288B7C24248D74243C90909089F6F3A48B64241C9D5F5E5B5DC390909090909090909090555356578B7424188B7C2420F7C6FFFFFFFF0F849F020000F7C7FFFFFFFF0F8493020000E8000000005D8DAD17D6FFFF8DAD800800008B45808B5DA08B4DC08B55E08B45008B5D208B4D408B55608B4C241C81F9800000000F842200000081F9C00000000F84A600000081F9000100000F8447010000B8FEFFFFFFE93C0200008B068B5E048B4E088B560C8907895F04894F0889570C31C9E9080000009090908B078B570C0FB6F20FB65C35800FB6F6C1E31831D80FB65C3580C1EA100FB6F231D80FB65C35800FB6F6C1E30831D80FB65C3580C1E31031D833848D8003000089471033470489471433470889471833470C89471C4183C71083F90A0F8C9EFFFFFFC747500A00000031C0E9AC0100008B068B5E048B4E088B560C8907895F04894F0889570C8B4E108B5614894F1089571431C9E9080000009090908B078B57140FB6F20FB65C35800FB6F6C1E31831D80FB65C3580C1EA100FB6F231D80FB65C35800FB6F6C1E30831D80FB65C3580C1E31031D833848D8003000089471833470489471C33470889472033470C89472483F9070F84150000004133471089472833471489472C83C718E98DFFFFFFC747480C00000031C0E9FF0000008B068B5E048B4E088B560C8907895F04894F0889570C8B46108B5E148B4E188B561C894710895F14894F1889571C31C9E90500000090908B571C8B070FB6F20FB65C35800FB6F6C1E31831D80FB65C3580C1EA100FB6F231D80FB65C35800FB6F6C1E30831D80FB65C3580C1E31031D833848D8003000089472033470489472433470889472833470C89472C83F9060F84570000004189C28B47100FB6F20FB65C35800FB6F631D80FB65C3580C1EA10C1E3080FB6F231D80FB65C35800FB6F6C1E31031D80FB65C3580C1E31831D889473033471489473433471889473833471C89473C83C720E94BFFFFFFC747300E00000031C0E905000000B8FFFFFFFF5F5E5B5DC3909090909090909090909090909090E82BFDFFFFC390909090909090909090E81BFDFFFF83F8000F8401000000C3555356578B74241C8B8EF00000008D0C8D000000008D3C8E908B068B5E048B0F8B57048907895F04890E8956048B46088B5E0C8B4F088B570C894708895F0C894E0889560C83C61083EF1039FE0F85C6FFFFFF8B7C241C8BB7F00000008D7436FE8D34F78974241C8B4710909083C71089C681E68080808089F5C1ED078D1C0029EE81E3FEFEFEFE81E61B1B1B1B31DE89F381E68080808089F5C1ED078D0C1B29EE81E1FEFEFEFE81E61B1B1B1B31C331CE89F181E68080808089F5C1ED078D140931C129EE81E2FEFEFEFE81E61B1B1B1BC1C00831F28B6F0431D831D331C8C1C31831D131D0C1C11031D8C1C20831C889EB31D0890789DE81E68080808089F5C1ED078D0C1B29EE81E1FEFEFEFE81E61B1B1B1B31CE89F181E68080808089F5C1ED078D140929EE81E2FEFEFEFE81E61B1B1B1B31D931D689F281E68080808089F5C1ED078D041231DA29EE25FEFEFEFE81E61B1B1B1BC1C30831F08B6F0831CB31C131D3C1C11831C231C3C1C21031CBC1C00831D389E931C3895F0489CE81E68080808089F5C1ED078D140929EE81E2FEFEFEFE81E61B1B1B1B31D689F281E68080808089F5C1ED078D041229EE25FEFEFEFE81E61B1B1B1B31CA31C689F081E68080808089F5C1ED078D1C0031C829EE81E3FEFEFEFE81E61B1B1B1BC1C10831F38B6F0C31D131DA31C1C1C21831D831D9C1C01031D1C1C30831C189EA31D9894F0889D681E68080808089F5C1ED078D041229EE25FEFEFEFE81E61B1B1B1B31C689F081E68080808089F5C1ED078D1C0029EE81E3FEFEFEFE81E61B1B1B1B31D031DE89F381E68080808089F5C1ED078D0C1B31D329EE81E1FEFEFEFE81E61B1B1B1BC1C20831F18B6F1031C231C831DAC1C01831CB31CAC1C31031C2C1C10831DA89E831CA89570C3B7C241C0F82D7FDFFFF31C05F5E5B5DC341455320666F72207838362C2043525950544F47414D53206279203C617070726F406F70656E73736C2E6F72673E00
AES_ecb_encrypt,0x1A6A0,0x19AA0,837C2410018B44240C8B4C24088B5424045051527509E8C521000083C40CC3E8FC37000083C40CC3
